ime,visina moskih,teza moskih,bmi moskih
Netherlands,1.84,87.9,26.1
Montenegro,1.83,90.4,27.0
Estonia,1.82,89.9,27.0
Denmark,1.82,86.8,26.3
Bosnia and Herzegovina,1.82,87.1,26.4
Iceland,1.81,89.2,27.1
Czechia,1.81,91.9,28.1
Slovenia,1.81,87.0,26.6
Slovakia,1.81,89.5,27.4
Croatia,1.81,91.3,28.0
Serbia,1.80,86.9,26.7
Sweden,1.80,87.1,26.8
Norway,1.80,89.1,27.4
Lithuania,1.80,88.1,27.1
Poland,1.80,89.0,27.4
Ukraine,1.80,87.6,27.0
Finland,1.80,86.3,26.6
Latvia,1.80,87.9,27.1
Germany,1.80,88.7,27.4
Dominica,1.80,80.7,25.0
Belgium,1.79,85.9,26.8
Bermuda,1.79,88.4,27.6
Greece,1.79,88.1,27.6
Puerto Rico,1.79,90.7,28.4
Switzerland,1.79,85.5,26.8
Australia,1.79,88.3,27.7
Ireland,1.79,89.2,28.0
Canada,1.78,87.3,27.4
Austria,1.78,84.6,26.6
France,1.78,82.6,26.0
Antigua and Barbuda,1.78,81.6,25.7
Lebanon,1.78,88.9,28.0
Belarus,1.78,84.1,26.5
Andorra,1.78,87.3,27.5
French Polynesia,1.78,93.8,29.6
Cook Islands,1.78,103.7,32.7
Luxembourg,1.78,86.2,27.2
United Kingdom,1.78,86.7,27.4
Grenada,1.78,79.3,25.1
New Zealand,1.78,88.9,28.2
Romania,1.77,85.1,27.1
Niue,1.77,98.8,31.5
United States,1.77,90.6,29.0
American Samoa,1.77,103.2,33.1
Hungary,1.76,87.6,28.2
Russia,1.76,80.3,25.9
Tokelau,1.76,99.0,32.0
Saint Lucia,1.76,91.1,29.5
Spain,1.76,84.0,27.2
Turkey,1.76,84.0,27.2
Israel,1.76,85.4,27.7
Morocco,1.75,78.0,25.4
Brazil,1.75,80.7,26.3
Georgia,1.75,84.2,27.5
South Korea,1.75,74.7,24.4
Iran,1.75,77.3,25.3
Tonga,1.75,93.7,30.7
China,1.75,73.5,24.1
Kazakhstan,1.74,80.0,26.3
Hong Kong,1.74,74.4,24.5
Argentina,1.74,84.7,27.9
Italy,1.74,80.9,26.7
Portugal,1.74,79.5,26.3
North Korea,1.74,73.1,24.2
Algeria,1.74,74.6,24.7
Costa Rica,1.74,80.9,26.8
Albania,1.74,81.4,27.0
Samoa,1.73,91.8,30.5
United Arab Emirates,1.73,84.5,28.1
Bulgaria,1.73,81.8,27.2
Cuba,1.73,76.0,25.3
Taiwan,1.73,75.0,25.0
Singapore,1.73,72.8,24.3
Iraq,1.73,83.2,27.8
Mauritius,1.73,73.6,24.6
Egypt,1.73,83.1,27.8
Venezuela,1.73,79.8,26.7
Chile,1.73,82.8,27.8
Qatar,1.73,85.7,28.8
Haiti,1.72,78.0,26.4
Japan,1.72,69.5,23.6
Colombia,1.71,75.7,25.8
Thailand,1.71,69.8,23.8
Tuvalu,1.71,88.0,30.1
Cameroon,1.71,69.0,23.6
Sudan,1.71,67.8,23.2
Chad,1.71,64.1,22.0
Palau,1.70,86.0,29.6
Somalia,1.70,65.3,22.5
Eritrea,1.70,58.8,20.3
Mongolia,1.70,74.7,25.8
El Salvador,1.70,77.8,26.9
Saudi Arabia,1.70,80.9,28.0
Mexico,1.70,79.3,27.5
Kiribati,1.70,83.9,29.1
Zimbabwe,1.70,64.3,22.3
Kenya,1.70,63.9,22.2
Nigeria,1.70,65.1,22.6
Ghana,1.69,64.9,22.6
Nauru,1.69,93.0,32.4
Micronesia,1.69,81.1,28.3
South Africa,1.69,71.9,25.1
Niger,1.69,61.1,21.4
Malaysia,1.68,71.5,25.2
Vietnam,1.68,61.2,21.7
Bolivia,1.68,71.2,25.3
Afghanistan,1.68,63.6,22.6
Congo (Dem. Republic),1.68,60.2,21.4
Ethiopia,1.68,56.5,20.1
Maldives,1.68,69.2,24.6
Sri Lanka,1.67,63.1,22.5
Ecuador,1.67,74.2,26.6
Burundi,1.67,60.5,21.8
Pakistan,1.67,64.7,23.3
Brunei,1.66,74.7,27.1
Myanmar,1.66,61.1,22.2
India,1.66,59.6,21.7
Indonesia,1.66,61.4,22.4
Cambodia,1.65,59.7,22.0
Madagascar,1.65,58.4,21.5
Philippines,1.65,61.8,22.8
Bangladesh,1.65,57.7,21.3
Nepal,1.64,60.5,22.5
Guatemala,1.64,69.1,25.7
Yemen,1.63,62.5,23.6
Laos,1.62,59.5,22.6
East Timor,1.59,53.9,21.2
